router_id,model,firmware_version,building,room,user_type,issue_date
R-1000,TL-841N,v3.0,Lab-Complex,241,student,8/16/2024
R-1001,AC-1200,v5.1,Lab-Complex,380,student,3/8/2025
R-1002,TL-841N,v3.0,Hostel-A,148,student,8/26/2024
R-1003,TL-841N,v3.0,Lab-Complex,380,staff,8/13/2024
R-1004,NX-500,v2.0,Hostel-A,182,staff,12/14/2024
R-1005,DIR-615,v2.8,Hostel-B,273,student,4/4/2024
R-1006,NX-500,v1.9,Main-Block,277,staff,2/14/2024
R-1007,NX-500,v1.9,Library,141,staff,1/5/2025
R-1008,AC-1200,v5.1,Hostel-A,217,staff,3/22/2024
R-1009,AC-1200,v5.1,Library,243,staff,1/8/2025
R-1010,AC-1200,v5.1,Main-Block,282,student,9/30/2024
R-1011,TL-841N,v3.0,Staff-Qtrs,226,student,4/18/2025
R-1012,NX-500,v2.0,Lab-Complex,386,student,11/28/2024
R-1013,TL-841N,v3.0,Hostel-A,262,staff,10/1/2024
R-1014,TL-841N,v3.0,Staff-Qtrs,262,student,5/26/2025
R-1015,NX-500,v2.0,Hostel-B,236,student,9/9/2024
R-1016,DIR-615,v3.1,Staff-Qtrs,305,staff,8/12/2024
R-1017,AC-1200,v5.4,Hostel-A,125,student,6/5/2024
R-1018,AC-1200,v5.1,Lab-Complex,317,student,1/29/2025
R-1019,NX-500,v2.0,Staff-Qtrs,229,student,4/27/2024
R-1020,DIR-615,v3.1,Hostel-A,251,staff,6/10/2024
R-1021,NX-500,v1.9,Lab-Complex,235,student,6/3/2025
R-1022,TL-841N,v3.2,Lab-Complex,360,student,6/5/2024
R-1023,DIR-615,v2.8,Staff-Qtrs,372,student,11/27/2024
R-1024,NX-500,v1.9,Hostel-A,286,staff,9/2/2024
R-1025,TL-841N,v3.0,Staff-Qtrs,141,student,5/12/2025
R-1026,TL-841N,v3.0,Staff-Qtrs,165,student,5/1/2025
R-1027,AC-1200,v5.4,Staff-Qtrs,411,staff,8/4/2024
R-1028,AC-1200,v5.4,Library,292,staff,6/13/2025
R-1029,NX-500,v1.9,Hostel-B,216,student,12/12/2024
R-1030,TL-841N,v3.0,Staff-Qtrs,213,student,3/13/2024
R-1031,TL-841N,v3.0,Hostel-A,117,staff,3/13/2024
R-1032,AC-1200,v5.4,Lab-Complex,349,student,7/6/2025
R-1033,AC-1200,v5.4,Hostel-B,343,staff,7/13/2024
R-1034,TL-841N,v3.0,Hostel-A,321,staff,3/9/2025
R-1035,NX-500,v2.0,Lab-Complex,128,student,3/3/2024
R-1036,NX-500,v2.0,Hostel-A,228,student,7/13/2024
R-1037,NX-500,v1.9,Library,194,staff,4/18/2025
R-1038,AC-1200,v5.1,Library,382,student,2/21/2024
R-1039,TL-841N,v3.0,Hostel-B,186,staff,5/12/2025
R-1040,NX-500,v1.9,Library,131,student,1/23/2025
R-1041,TL-841N,v3.2,Main-Block,333,staff,3/9/2025
R-1042,NX-500,v1.9,Hostel-B,198,staff,8/10/2024
R-1043,TL-841N,v3.0,Lab-Complex,261,student,2/21/2024
R-1044,NX-500,v1.9,Hostel-A,361,student,7/9/2024
R-1045,TL-841N,v3.0,Lab-Complex,221,staff,5/2/2024
R-1046,AC-1200,v5.1,Staff-Qtrs,142,staff,8/20/2025
R-1047,DIR-615,v3.1,Hostel-B,261,student,9/28/2024
R-1048,NX-500,v1.9,Lab-Complex,254,staff,11/19/2024
R-1049,TL-841N,v3.0,Library,419,student,3/16/2024
R-1050,AC-1200,v5.1,Staff-Qtrs,236,student,12/23/2024
R-1051,TL-841N,v3.0,Main-Block,246,student,3/24/2025
R-1052,DIR-615,v2.8,Lab-Complex,384,staff,4/16/2024
R-1053,AC-1200,v5.4,Hostel-A,155,student,10/5/2024
R-1054,DIR-615,v2.8,Lab-Complex,276,student,9/27/2024
R-1055,NX-500,v2.0,Hostel-A,148,staff,10/10/2024
R-1056,TL-841N,v3.0,Main-Block,167,staff,6/14/2024
R-1057,NX-500,v2.0,Staff-Qtrs,105,student,3/18/2024
R-1058,AC-1200,v5.1,Staff-Qtrs,119,staff,8/19/2025
R-1059,AC-1200,v5.4,Hostel-B,122,staff,1/8/2025
